need_id,request_date,category,item_description,quantity,urgency,family_id,city,state,zip_code,status,matched_date,fulfilled_date,assigned_donor_id,assigned_church_id,notes
N00163,2024-02-07,Clothing,winter coat,1,High,F0078,Nashville,TN,37203,In Progress,2024-02-08,,D0102,C019,
N00164,2024-11-28,Clothing,baby clothes,5,High,F0058,Birmingham,AL,35205,In Progress,2024-11-28,,D0144,C023,Urgent need for family in crisis
N00165,2024-03-06,Utilities,water bill,5,Critical,F0198,Nashville,TN,37205,Matched,2024-03-07,,D0001,C023,
N00166,2024-11-23,Childcare,stroller,6,Low,F0061,Charlotte,NC,28203,Closed,2024-11-23,2024-11-25,D0128,C005,Urgent need for family in crisis
N00167,2024-08-16,Clothing,winter coat,3,Medium,F0064,Nashville,TN,37201,Requested,,,,,
N00168,2024-07-16,Food,groceries,4,Critical,F0097,Atlanta,GA,30303,Fulfilled,2024-07-17,2024-07-22,D0108,C006,
N00169,2024-03-24,Food,baby formula,3,High,F0027,Charlotte,NC,28201,Fulfilled,2024-03-24,2024-03-24,D0009,C010,
N00170,2024-10-07,Utilities,electric bill,3,Critical,F0181,Atlanta,GA,30301,Requested,,,,,
N00171,2024-01-28,Clothing,baby clothes,3,Medium,F0049,Charlotte,NC,28204,Requested,,,,,
N00172,2024-05-01,Transportation,car repair,1,Critical,F0147,Nashville,TN,37205,Requested,,,,,Urgent need for family in crisis
N00173,2024-01-02,Clothing,winter coat,6,Critical,F0052,Nashville,TN,37201,Fulfilled,2024-01-02,2024-01-05,D0076,C027,
N00174,2024-08-30,Clothing,school clothes,3,Critical,F0121,Atlanta,GA,30304,Requested,,,,,Urgent need for family in crisis
N00175,2024-04-04,Transportation,gas card,4,Low,F0068,Birmingham,AL,35204,In Progress,2024-04-05,,D0095,C006,
N00176,2024-03-18,School Supplies,pencils,6,Low,F0022,Atlanta,GA,30303,Cancelled,,,,,Urgent need for family in crisis
N00177,2024-10-10,Utilities,heating assistance,4,Critical,F0138,Charlotte,NC,28204,Requested,,,,,
N00178,2024-02-10,School Supplies,calculator,5,Medium,F0031,Nashville,TN,37204,Fulfilled,2024-02-11,2024-02-15,D0009,C017,
N00179,2024-03-05,Clothing,shoes,4,Low,F0175,Charlotte,NC,28204,Requested,,,,,
N00180,2024-02-04,Clothing,school clothes,4,Critical,F0142,Nashville,TN,37203,Requested,,,,,Urgent need for family in crisis
N00181,2024-02-27,Medical,prescription assistance,5,Low,F0028,Birmingham,AL,35205,Fulfilled,2024-02-27,2024-03-01,D0038,C019,Urgent need for family in crisis
N00182,2024-05-15,Transportation,car repair,4,Low,F0045,Birmingham,AL,35203,Fulfilled,2024-05-16,2024-05-20,D0125,C019,
N00183,2024-06-18,Utilities,electric bill,2,Low,F0191,Birmingham,AL,35204,Cancelled,,,,,Urgent need for family in crisis
N00184,2024-06-04,Childcare,diapers,6,Low,F0059,Nashville,TN,37202,In Progress,2024-06-04,,D0126,C028,
N00185,2024-08-01,Medical,medical supplies,2,Critical,F0190,Nashville,TN,37204,Closed,2024-08-02,2024-08-05,D0023,C007,Urgent need for family in crisis
N00186,2024-02-03,Childcare,diapers,2,Low,F0045,Charlotte,NC,28202,In Progress,2024-02-04,,D0130,C013,Urgent need for family in crisis
N00187,2024-01-17,School Supplies,backpack,3,High,F0119,Charlotte,NC,28205,Fulfilled,2024-01-17,2024-01-18,D0093,C023,
N00188,2024-07-09,Food,groceries,4,High,F0089,Charlotte,NC,28202,Fulfilled,2024-07-10,2024-07-15,D0115,C006,Urgent need for family in crisis
N00189,2024-01-15,Transportation,gas card,2,Medium,F0166,Nashville,TN,37202,Fulfilled,2024-01-15,2024-01-18,D0042,C028,
N00190,2024-12-15,Transportation,uber/lyft credit,4,Medium,F0166,Atlanta,GA,30302,Requested,,,,,
N00191,2024-11-07,Housing,mattress,4,High,F0118,Nashville,TN,37203,In Progress,2024-11-08,,D0071,C014,
N00192,2024-01-04,Transportation,uber/lyft credit,5,High,F0077,Atlanta,GA,30301,Closed,2024-01-05,2024-01-09,D0096,C018,
N00193,2024-05-21,Childcare,car seat,2,Medium,F0015,Nashville,TN,37205,In Progress,2024-05-22,,D0077,C007,
N00194,2024-12-01,Childcare,wipes,4,Critical,F0189,Atlanta,GA,30301,Fulfilled,2024-12-01,2024-12-04,D0067,C030,
N00195,2024-12-17,School Supplies,pencils,3,High,F0044,Charlotte,NC,28205,Closed,2024-12-18,2024-12-22,D0122,C030,
N00196,2024-05-12,Food,baby formula,5,Medium,F0175,Charlotte,NC,28203,Cancelled,,,,,
N00197,2024-06-06,School Supplies,pencils,3,Critical,F0031,Charlotte,NC,28204,Fulfilled,2024-06-06,2024-06-10,D0096,C009,
N00198,2024-09-13,Food,baby formula,6,Critical,F0136,Charlotte,NC,28203,Requested,,,,,
N00199,2024-06-24,Clothing,shoes,6,Medium,F0200,Charlotte,NC,28201,Fulfilled,2024-06-25,2024-06-27,D0118,C005,
N00200,2024-01-03,Clothing,school clothes,2,Medium,F0126,Atlanta,GA,30301,Fulfilled,2024-01-03,2024-01-07,D0054,C025,
N00201,2024-07-25,Utilities,heating assistance,5,Medium,F0188,Birmingham,AL,35203,Fulfilled,2024-07-26,2024-07-26,D0099,C001,Urgent need for family in crisis
N00202,2024-01-10,Childcare,stroller,1,Medium,F0058,Charlotte,NC,28203,Cancelled,,,,,
N00203,2024-03-26,Food,baby formula,1,High,F0075,Nashville,TN,37204,Requested,,,,,Urgent need for family in crisis
N00204,2024-06-24,Childcare,crib,4,Low,F0059,Charlotte,NC,28202,Fulfilled,2024-06-24,2024-06-29,D0049,C006,Urgent need for family in crisis
N00205,2024-10-28,Clothing,shoes,6,Low,F0097,Atlanta,GA,30303,Closed,2024-10-28,2024-11-01,D0032,C012,Urgent need for family in crisis
N00206,2024-12-04,Housing,rent assistance,6,Low,F0013,Atlanta,GA,30301,Requested,,,,,
N00207,2024-08-30,Utilities,electric bill,2,Medium,F0178,Nashville,TN,37201,Cancelled,,,,,
N00208,2024-08-02,Food,food pantry items,5,Low,F0073,Charlotte,NC,28201,Requested,,,,,Urgent need for family in crisis
N00209,2024-05-14,Medical,prescription assistance,3,Medium,F0011,Charlotte,NC,28205,Closed,2024-05-14,2024-05-16,D0092,C023,
N00210,2024-04-30,School Supplies,calculator,1,Low,F0029,Nashville,TN,37205,Requested,,,,,
N00211,2024-02-21,Clothing,winter coat,3,High,F0119,Atlanta,GA,30301,In Progress,2024-02-22,,D0060,C015,
N00212,2024-07-03,Clothing,winter coat,3,Critical,F0190,Nashville,TN,37201,Cancelled,,,,,
N00213,2024-12-05,Housing,bed,2,High,F0092,Charlotte,NC,28204,Cancelled,,,,,Urgent need for family in crisis
N00214,2024-06-24,Transportation,gas card,4,High,F0099,Nashville,TN,37204,Matched,2024-06-24,,D0103,C013,Urgent need for family in crisis
N00215,2024-12-22,Clothing,winter coat,1,Medium,F0027,Charlotte,NC,28204,Cancelled,,,,,Urgent need for family in crisis
